ASN	NumberofUsers	Country	%ofCountry
133385	235518	MM	17.37
16160	235160	SK	5.23
28512	235092	MX	0.39
53667	234682	US	0.08
49724	234291	RU	0.23
14754	233620	CR	8.3
13490	233219	US	0.08
36945	233101	MZ	11.67
14080	232977	CO	0.82
133676	231246	IN	0.05
1257	229514	LV	15.71
23470	229481	US	0.08
133648	229223	IN	0.05
48887	227605	TJ	13.15
25139	226727	MZ	11.35
28668	226626	BR	0.16
28201	226297	BR	0.16
24164	225958	TW	1.19
21127	225952	RU	0.22
37113	225767	UG	2.62
27672	223921	MX	0.38
63018	223833	US	0.08
24940	222904	FI	4.34
34533	222383	RU	0.22
34779	222338	SI	14.83
132447	221779	LK	3.6
2586	221396	EE	18.57
28536	221255	MX	0.37
12764	220665	KG	10.34
137166	220423	IN	0.05
131596	220320	TW	1.16
396356	219832	US	0.08
30844	219720	ZA	0.73
37057	218462	LS	46.38
17079	218429	SV	8.86
35197	217919	LB	4.71
28036	217193	NI	17.66
4755	216879	IN	0.05
28580	216571	BR	0.15
12365	216505	UZ	1.3
34594	216034	HR	7.02
16509	215893	JP	0.19
55805	215847	MN	19.2
18024	215648	BT	70.88
138296	214626	IN	0.05
27775	213498	SR	88.21
133001	213356	IN	0.04
31404	212631	FR	0.38
44087	212054	BY	3.68
34557	210921	TJ	12.19
9351	210541	JP	0.18
25620	209958	BO	4.5
49800	208960	AM	14.26
132298	208877	BD	0.94
17529	208815	JP	0.18
133275	208650	IN	0.04
12997	208290	KG	9.76
11562	207583	VE	1.1
135478	207037	ID	0.38
55850	206727	NZ	4.83
132480	205712	PK	0.57
37526	204922	BF	9.94
22368	204759	CO	0.72
12768	202324	RU	0.2
26827	201860	US	0.07
9874	201230	SG	4.16
15542	201157	NL	1.25
